6.9173 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A9B080FCD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A9B080F970>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A9B080FAF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A9B53809A0>, multiSample=False, name='window1', numSamples=2, pos=(880, 240), screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9174 	EXP 	window1: mouseVisible = True
6.9174 	EXP 	window1: backgroundImage = ''
6.9175 	EXP 	window1: backgroundFit = 'none'
6.9197 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.9197 	EXP 	window1: recordFrameIntervals = False
7.0838 	EXP 	window1: recordFrameIntervals = True
7.2674 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
7.2674 	EXP 	window1: recordFrameIntervals = False
7.2674 	EXP 	window1: mouseVisible = True
7.3806 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
9.8968 	EXP 	ala: status = STARTED
9.8971 	EXP 	window1: mouseVisible = True
9.9571 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0. , 0.4]), rgb=UNKNOWN, text='Learn this mapping then press space', units='height', win=Window(...), wrapWidth=1)
9.9573 	EXP 	window1: mouseVisible = True
