7.0200 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FAB53FECA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FAB53FEC40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FAB53FEA90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FABF0E0730>, multiSample=False, name='window1', numSamples=2, pos=(880, 240), screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.0202 	EXP 	window1: mouseVisible = True
7.0202 	EXP 	window1: backgroundImage = ''
7.0203 	EXP 	window1: backgroundFit = 'none'
7.0248 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.0248 	EXP 	window1: recordFrameIntervals = False
7.1858 	EXP 	window1: recordFrameIntervals = True
7.3695 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
7.3696 	EXP 	window1: recordFrameIntervals = False
7.3697 	EXP 	window1: mouseVisible = True
7.4916 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
10.2956 	EXP 	ala: status = STARTED
10.2960 	EXP 	window1: mouseVisible = True
10.3606 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0. , 0.4]), rgb=UNKNOWN, text='Learn this mapping then press space', units='height', win=Window(...), wrapWidth=1)
10.3607 	EXP 	window1: mouseVisible = True
10.3623 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.3624 	EXP 	window1: mouseVisible = True
